new_id,old_id
GB-CASC-5ba814a4,GB-CASC-5ba814a4
GB-CASC-96a16e62,GB-CASC-177f6deb
GB-CASC-ab829838,GB-CASC-ab829838
GB-CASC-9c288aa6,GB-CASC-9c288aa6
GB-CASC-75ea18fe,GB-CASC-eeb4b874
GB-CASC-b583d234,GB-CASC-499262ef
GB-CASC-e09703b3,GB-CASC-cf61a564
GB-CASC-f92af48b,GB-CASC-f92af48b
GB-CASC-a64888c0,GB-CASC-a64888c0
GB-CASC-a23312cb,GB-CASC-a23312cb
GB-CASC-fe0407a3,GB-CASC-b82a193d
GB-CASC-c6d6756c,GB-CASC-ccdb573f
GB-CASC-cf7c2587,GB-CASC-a5e51d54
GB-CASC-1b7e02e2,GB-CASC-e784665d
GB-CASC-377150da,GB-CASC-377150da
GB-CASC-4eb7641d,GB-CASC-3558b2c0
GB-CASC-09840e0e,GB-CASC-0c3b1174
GB-CASC-84cf5a0a,GB-CASC-9f881714
GB-CASC-ba2273e0,GB-CASC-ffe7ee2c
GB-CASC-94a3b733,GB-CASC-2db40b61
GB-CASC-865b48a0,GB-CASC-0070f74c
GB-CASC-61aa80ac,GB-CASC-61aa80ac
GB-CASC-c64761eb,GB-CASC-44d4cbce
GB-CASC-c6560d3e,GB-CASC-af4f36fa
GB-CASC-7086a24d,GB-CASC-7086a24d
GB-CASC-e8c1591a,GB-CASC-e8c1591a
GB-CASC-ce362da4,GB-CASC-ce362da4
GB-CASC-4882daba,GB-CASC-4882daba
GB-CASC-c3abee68,GB-CASC-4b502b48
GB-CASC-bba1b0f5,GB-CASC-92446197
GB-CASC-d5c400f6,GB-CASC-8d36f81c
GB-CASC-3e5e72f7,GB-CASC-3e5e72f7
GB-CASC-83c63bb2,GB-CASC-83c63bb2
GB-CASC-5601c7c2,GB-CASC-8255819e
GB-CASC-42dc1471,GB-CASC-42dc1471
GB-CASC-df1c1c4c,GB-CASC-4ae16d19
GB-CASC-3c61489d,GB-CASC-9cebb832
GB-CASC-a8bad7bf,GB-CASC-68fe6ab6
GB-CASC-688f52b2,GB-CASC-688f52b2
GB-CASC-c960d883,GB-CASC-c960d883
GB-CASC-445fbcfb,GB-CASC-302051c1
GB-CASC-3809b32c,GB-CASC-2ba80a16
GB-CASC-9a007379,GB-CASC-0ea84bb2
GB-CASC-20588f6c,GB-CASC-11b98cd2
GB-CASC-4b228154,GB-CASC-4b228154
GB-CASC-6043ef12,GB-CASC-78122282
GB-CASC-52dfa772,GB-CASC-52dfa772
GB-CASC-fa8f0d98,GB-CASC-8eb67c1a
GB-CASC-51527184,GB-CASC-2e3b066c
GB-CASC-7dcb3c4c,GB-CASC-1fbef976
GB-CASC-fbc95470,GB-CASC-36dfc9b6
GB-CASC-fe863bbb,GB-CASC-fe863bbb
GB-CASC-deb49151,GB-CASC-d798a7e4
GB-CASC-e6723b88,GB-CASC-aaac9cc0
GB-CASC-4a8f974c,GB-CASC-4a8f974c
GB-CASC-04d2420b,GB-CASC-d1f506b3
GB-CASC-b7bcc63a,GB-CASC-b7bcc63a
GB-CASC-6f053a39,GB-CASC-974abe49
GB-CASC-ad461081,GB-CASC-56de4a85
GB-CASC-47f1d3de,GB-CASC-3d82cd3a
GB-CASC-0a44e6f1,GB-CASC-08208429
GB-CASC-4ecb99fe,GB-CASC-4ecb99fe
GB-CASC-58d04d9e,GB-CASC-1b5cb18b
GB-CASC-e577f076,GB-CASC-e871ac31
GB-CASC-e3244ab8,GB-CASC-8cae5319
GB-CASC-a6ca1ade,GB-CASC-fb6ea76e
GB-CASC-173f51a4,GB-CASC-ce81faa2
GB-CASC-3bfd511d,GB-CASC-2111c072
GB-CASC-88a7fbd3,GB-CASC-33209924
GB-CASC-1413eb9a,GB-CASC-d408e50b
GB-CASC-c27ddeba,GB-CASC-dd806b3f
GB-CASC-5dcb2ded,GB-CASC-5dcb2ded
GB-CASC-b3547497,GB-CASC-f114e0df
GB-CASC-97c3af10,GB-CASC-f114e0df
GB-CASC-e99ff2d8,GB-CASC-e99ff2d8
GB-CASC-1dbeaed9,GB-CASC-1dbeaed9
